Id,Activity Date,Total Steps,Total Distance,Tracker Distance,Logged Activities Distance,Very Active Distance,Moderately Active Distance,Light Active Distance,Sedentary Active Distance,Very Active Minutes,Fairly Active Minutes,Lightly Active Minutes,Sedentary Minutes,Total Active Minutes ,Calories,Check,Check minute totals vs day limits,ID_Date
1503960366,3/25/2016,11004,7.11,7.11,0.00,2.57,0.46,4.07,0.00,33.00,12.00,205.00,804.00,1021.00,1819.00,Keep,Check,1503960366_03/25/2016
1503960366,3/26/2016,17609,11.55,11.55,0.00,6.92,0.73,3.91,0.00,89.00,17.00,274.00,588.00,879.00,2154.00,Keep,Check,1503960366_03/26/2016
1503960366,3/27/2016,12736,8.53,8.53,0.00,4.66,0.16,3.71,0.00,56.00,5.00,268.00,605.00,878.00,1944.00,Keep,Check,1503960366_03/27/2016
1503960366,3/28/2016,13231,8.93,8.93,0.00,3.19,0.79,4.95,0.00,39.00,20.00,224.00,1080.00,1324.00,1932.00,Keep,Check,1503960366_03/28/2016
1503960366,3/29/2016,12041,7.85,7.85,0.00,2.16,1.09,4.61,0.00,28.00,28.00,243.00,763.00,1034.00,1886.00,Keep,Check,1503960366_03/29/2016
1503960366,3/30/2016,10970,7.16,7.16,0.00,2.36,0.51,4.29,0.00,30.00,13.00,223.00,1174.00,1410.00,1820.00,Keep,Check,1503960366_03/30/2016
1503960366,3/31/2016,12256,7.86,7.86,0.00,2.29,0.49,5.04,0.00,33.00,12.00,239.00,820.00,1071.00,1889.00,Keep,Check,1503960366_03/31/2016
1503960366,4/1/2016,12262,7.87,7.87,0.00,3.32,0.83,3.64,0.00,47.00,21.00,200.00,866.00,1087.00,1868.00,Keep,Check,1503960366_04/01/2016
1503960366,4/2/2016,11248,7.25,7.25,0.00,3.00,0.45,3.74,0.00,40.00,11.00,244.00,636.00,891.00,1843.00,Keep,Check,1503960366_04/02/2016
1503960366,4/3/2016,10016,6.37,6.37,0.00,0.91,1.28,4.18,0.00,15.00,30.00,314.00,655.00,999.00,1850.00,Keep,Check,1503960366_04/03/2016
1503960366,4/4/2016,14557,9.80,9.80,0.00,3.39,0.70,5.69,0.00,43.00,18.00,285.00,757.00,1060.00,2030.00,Keep,Check,1503960366_04/04/2016
1503960366,4/5/2016,14844,9.73,9.73,0.00,2.94,0.76,6.04,0.00,36.00,18.00,341.00,736.00,1095.00,2083.00,Keep,Check,1503960366_04/05/2016
1503960366,4/6/2016,11974,7.67,7.67,0.00,2.04,0.48,5.15,0.00,27.00,12.00,228.00,1173.00,1413.00,1861.00,Keep,Check,1503960366_04/06/2016
1503960366,4/7/2016,10198,6.44,6.44,0.00,1.20,0.79,4.45,0.00,17.00,20.00,195.00,1208.00,1423.00,1755.00,Keep,Check,1503960366_04/07/2016
1503960366,4/8/2016,12521,7.94,7.94,0.00,3.31,0.90,3.74,0.00,46.00,22.00,212.00,1160.00,1394.00,1895.00,Keep,Check,1503960366_04/08/2016
1503960366,4/9/2016,12432,8.10,8.10,0.00,2.59,0.59,4.92,0.00,32.00,15.00,248.00,738.00,1001.00,1883.00,Keep,Check,1503960366_04/09/2016
1503960366,4/10/2016,10057,6.98,6.98,0.00,4.00,0.49,2.48,0.00,44.00,13.00,168.00,737.00,918.00,1755.00,Keep,Check,1503960366_04/10/2016
1503960366,4/11/2016,10990,7.26,7.26,0.00,2.04,0.57,4.65,0.00,26.00,14.00,216.00,855.00,1085.00,1811.00,Keep,Check,1503960366_04/11/2016
1503960366,4/12/2016,224,0.14,0.14,0.00,0.00,0.00,0.13,0.00,0.00,0.00,9.00,32.00,41.00,50.00,Keep,OK,1503960366_04/12/2016
1624580081,3/25/2016,1810,1.18,1.18,0.00,0.00,0.00,1.13,0.01,0.00,0.00,121.00,1319.00,1440.00,1373.00,Keep,Check,1624580081_03/25/2016
1624580081,3/26/2016,815,0.53,0.53,0.00,0.00,0.00,0.53,0.00,0.00,0.00,47.00,1393.00,1440.00,1264.00,Keep,Check,1624580081_03/26/2016
1624580081,3/27/2016,1985,1.29,1.29,0.00,0.00,0.00,1.28,0.01,0.00,0.00,112.00,1328.00,1440.00,1350.00,Keep,Check,1624580081_03/27/2016
1624580081,3/28/2016,1905,1.24,1.24,0.00,0.00,0.00,1.24,0.00,0.00,0.00,95.00,1345.00,1440.00,1342.00,Keep,Check,1624580081_03/28/2016
1624580081,3/29/2016,1552,1.01,1.01,0.00,0.00,0.00,1.00,0.00,0.00,0.00,66.00,1374.00,1440.00,1300.00,Keep,Check,1624580081_03/29/2016
1624580081,3/30/2016,1675,1.09,1.09,0.00,0.00,0.00,1.09,0.00,0.00,0.00,84.00,1356.00,1440.00,1313.00,Keep,Check,1624580081_03/30/2016
1624580081,3/31/2016,4506,2.93,2.93,0.00,0.51,0.27,2.15,0.01,7.00,4.00,144.00,1285.00,1433.00,1498.00,Keep,Check,1624580081_03/31/2016
1624580081,4/1/2016,9218,5.99,5.99,0.00,0.00,0.00,5.97,0.01,0.00,0.00,221.00,1219.00,1440.00,1541.00,Keep,Check,1624580081_04/01/2016
1624580081,4/2/2016,1556,1.01,1.01,0.00,0.00,0.00,1.01,0.01,0.00,0.00,88.00,1352.00,1440.00,1327.00,Keep,Check,1624580081_04/02/2016
1624580081,4/3/2016,2910,1.89,1.89,0.00,0.00,0.00,1.88,0.01,0.00,0.00,157.00,1283.00,1440.00,1452.00,Keep,Check,1624580081_04/03/2016
1624580081,4/4/2016,18464,12.00,12.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,270.00,1170.00,1440.00,1574.00,Keep,Check,1624580081_04/04/2016
1624580081,4/5/2016,1335,0.87,0.87,0.00,0.00,0.00,0.87,0.00,0.00,0.00,74.00,1366.00,1440.00,1308.00,Keep,Check,1624580081_04/05/2016
1624580081,4/6/2016,1004,0.65,0.65,0.00,0.00,0.00,0.65,0.00,0.00,0.00,55.00,1385.00,1440.00,1276.00,Keep,Check,1624580081_04/06/2016
1624580081,4/7/2016,1111,0.72,0.72,0.00,0.00,0.00,0.72,0.00,0.00,0.00,54.00,1386.00,1440.00,1278.00,Keep,Check,1624580081_04/07/2016
1624580081,4/8/2016,6344,4.12,4.12,0.00,0.00,0.00,4.10,0.00,0.00,0.00,143.00,1297.00,1440.00,1409.00,Keep,Check,1624580081_04/08/2016
1624580081,4/9/2016,3572,2.32,2.32,0.00,0.00,0.00,2.29,0.03,0.00,0.00,122.00,1318.00,1440.00,1370.00,Keep,Check,1624580081_04/09/2016
1624580081,4/10/2016,3910,2.54,2.54,0.00,0.47,0.25,1.81,0.01,7.00,7.00,186.00,1240.00,1433.00,1555.00,Keep,Check,1624580081_04/10/2016
1624580081,4/11/2016,10000,6.50,6.50,0.00,0.00,0.00,6.50,0.00,0.00,0.00,172.00,1268.00,1440.00,1469.00,Keep,Check,1624580081_04/11/2016
1624580081,4/12/2016,6627,4.31,4.31,0.00,0.00,0.00,4.31,0.00,0.00,0.00,89.00,604.00,693.00,706.00,Keep,OK,1624580081_04/12/2016
1644430081,4/1/2016,4636,3.41,3.41,0.00,0.00,0.78,2.60,0.03,0.00,16.00,586.00,838.00,1440.00,3323.00,Keep,Check,1644430081_04/01/2016
1644430081,4/2/2016,20237,14.71,14.71,0.00,2.57,6.40,5.73,0.01,34.00,141.00,347.00,918.00,1406.00,4029.00,Keep,Check,1644430081_04/02/2016
1644430081,4/3/2016,12912,9.41,9.41,0.00,4.83,0.77,3.79,0.03,59.00,16.00,283.00,1082.00,1381.00,3436.00,Keep,Check,1644430081_04/03/2016
1644430081,4/4/2016,2819,2.05,2.05,0.00,0.31,0.17,1.56,0.01,4.00,4.00,87.00,1345.00,1436.00,2444.00,Keep,Check,1644430081_04/04/2016
1644430081,4/5/2016,9921,7.21,7.21,0.00,0.34,1.52,5.36,0.00,5.00,35.00,219.00,1181.00,1435.00,3098.00,Keep,Check,1644430081_04/05/2016
1644430081,4/6/2016,8046,5.85,5.85,0.00,1.29,2.12,2.45,0.00,18.00,41.00,137.00,1244.00,1422.00,2925.00,Keep,Check,1644430081_04/06/2016
1644430081,4/7/2016,11166,8.12,8.12,0.00,0.21,2.41,5.50,0.00,3.00,58.00,230.00,1149.00,1437.00,3202.00,Keep,Check,1644430081_04/07/2016
